sample_id,task,prompt_snippet,prediction,ground_truth,prediction_length,ground_truth_length,exact_match,bleu,embedding_similarity,spatial_similarity,combined_similarity,accuracy,answer_format
0,obj_spatial_relation_oo_mv,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
<|vision_start|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|ima...","The sofa chair (red bbox: [0, 0, 484, 999]) is located to the left of the books (blue bbox: [640, 33, 744, 70]) in the first image.","From the perspective provided, the sofa chair(red bbox) is to the right and below the books(blue bbox). This places it closer as well. The the sofa chair(red bbox) and the books(blue bbox) are in front of the observer.
",131,219,0.0,0.018827127403224394,0.8309366703033447,0.18000000000000002,0.47323376063231726,0.47323376063231726,sentence
1,obj_spatial_relation_oo_mv,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
<|vision_start|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|ima...","The speaker (red bbox: [684, 577, 986, 999]) is located to the right of the bedside table (blue bbox: [662, 340, 709, 544]) in the first image.","To describe it, the speaker(red bbox) is  and above the bedside table(blue bbox).  The the speaker(red bbox) and the bedside table(blue bbox) are in front of the observer.
",143,172,0.0,0.02463831792025431,0.7594932913780212,0.45,0.5196743092730615,0.5196743092730615,sentence
2,obj_spatial_relation_oo_mv,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
<|vision_start|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|ima...","The telephone is not visible in the second image, so it is not possible to determine its orientation relative to the smoke detector in the second image.","the telephone(red bbox) lies to the right and below relative to the smoke detector(blue bbox). It seems closer when viewed. The the telephone(red bbox) and the smoke detector(blue bbox) are in front of the observer.
",152,216,0.0,0.08123363279795501,0.6861233711242676,0.18000000000000002,0.41330841212172476,0.41330841212172476,sentence
3,obj_spatial_relation_oo_mv,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
<|vision_start|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|ima...","The shoes are located on the right side of the image, while the trash can is not visible in the first image, so there is no comparison to be made.","The observer notes the shoes(red bbox) is to the right  the trash can(blue bbox). Additionally, it appears closer. The the shoes(red bbox) and the trash can(blue bbox) are in front of the observer.
",146,198,0.0,0.02461137710926838,0.6027176380157471,0.45,0.44128109442972724,0.44128109442972724,sentence
4,obj_spatial_relation_oo_mv,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
<|vision_start|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|ima...",The table is to the right of the luggage rack in the observer's viewpoint.,"the table(red bbox) holds a position to the right and  the luggage rack(blue bbox). From this vantage, it seems closer. The the table(red bbox) and the luggage rack(blue bbox) are in front of the observer.
",74,206,0.0,0.02468724190021517,0.8133702874183655,0.45,0.5466225920892258,0.5466225920892258,sentence
5,obj_spatial_relation_oo_mv,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
<|vision_start|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|ima...","The alarm clock (red bbox: [765, 756, 851, 892]) is positioned below the shoes (blue bbox: [251, 690, 376, 831]) in the first image, while in the second image, the shoes are no longer present, and the alarm clock is in a different location, not related to the shoes' position. Therefore, there is no direct comparison possible between the two images regarding the position of the alarm clock relative to the shoes.","the alarm clock(red bbox) appears to the observer as being to the right and above the shoes(blue bbox). It also seems closer. The the alarm clock(red bbox) is in front of the observer. The the shoes(blue bbox) is behind the observer.
",414,234,0.0,0.014658573833881026,0.8273588418960571,0.15,0.4616111357148048,0.4616111357148048,sentence
6,obj_spatial_relation_oo_mv,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
<|vision_start|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|ima...",The light switch is to the left of the telephone.,"Observationally, the light switch(red bbox) is to the left and above the telephone(blue bbox).  The the light switch(red bbox) and the telephone(blue bbox) are in front of the observer.
",49,186,0.0,0.05308909805043242,0.7374039888381958,0.225,0.4468198140291844,0.4468198140291844,sentence
7,obj_spatial_relation_oo_mv,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
<|vision_start|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|ima...",The trash can is located below and to the left of the shower pan from the observer's perspective in the first image.,"Looking at the setup, the trash can(red bbox) is positioned to the left and  the shower pan(blue bbox). To the observer, it seems closer. The the trash can(red bbox) and the shower pan(blue bbox) are in front of the observer.
",116,226,0.0,0.034418354016160294,0.7827862501144409,0.36000000000000004,0.5062767958604525,0.5062767958604525,sentence
8,obj_spatial_relation_oo_mv,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
<|vision_start|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|ima...","The sofa chair (red bbox: [267, 183, 512, 535]) is positioned to the left of the window sill (blue bbox: [876, 809, 999, 865]) in the first image.","the sofa chair(red bbox) is to the right below with the window sill(blue bbox). From here, it appears closer. The the sofa chair(red bbox) is behind the observer. The the window sill(blue bbox) is in front of the observer.
",146,223,0.0,0.02027871914887983,0.8603271842002869,0.15,0.4792193359299194,0.4792193359299194,sentence
9,obj_spatial_relation_oo_mv,"<|im_start|>system
You are a helpful assistant.<|im_end|>
<|im_start|>user
<|vision_start|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|image_pad|><|ima...",The bedside lamp is located to the right of the luggage rack based on the observer's viewpoint.,"When observing the luggage rack(blue bbox), the bedside lamp(red bbox) appears to the left above. Additionally, it is perceived as closer. The the bedside lamp(red bbox) and the luggage rack(blue bbox) are in front of the observer.
",95,232,0.0,0.015450548118043464,0.7858436107635498,0.3,0.48601191500538354,0.48601191500538354,sentence
